Transaction_ID,Date,Region,Category,Campaign_Name,Local_Currency,Local_Amount,Exchange_Rate,Spend_USD
TXN-651928,11-01-25,Asia,Bounties,Spring Builder Cohort,SGD,1840.8,1.4034,1311.71
TXN-292180,11-01-25,Asia,Developer Grants,Organic/None,SGD,6975.66,1.3694,5093.94
TXN-725407,11-01-25,Africa,Event Logistics,Spring Builder Cohort,NGN,9070.63,1201.7458,7.55
TXN-288014,11-01-25,Americas,Developer Grants,Spring Builder Cohort,USD,14376.95,1.0111,14218.48
TXN-144912,11-01-25,Africa,Event Logistics,Organic/None,NGN,71380,1143.9453,62.4
TXN-627741,11-01-25,Africa,Event Logistics,Regional Meetups,NGN,171693.99,1131.1025,151.79
TXN-287460,11-01-25,Africa,Marketing,Spring Builder Cohort,NGN,3544.39,1186.7354,2.99
TXN-812152,11-01-25,Africa,Event Logistics,Core Contributor Fund,NGN,10979.47,1176.4907,9.33
TXN-735785,11-01-25,Asia,Developer Grants,Spring Builder Cohort,SGD,8412.08,1.3188,6378.8
TXN-422794,11-01-25,Americas,Event Logistics,Organic/None,USD,5429.27,1.0232,5306.06
TXN-571301,11-01-25,Africa,Developer Grants,Core Contributor Fund,NGN,52710.4,1166.7741,45.18
TXN-872948,11-01-25,Europe,Event Logistics,Global Hackathon,EUR,42239.34,0.8917,47369.19
TXN-164702,11-01-25,Europe,Developer Grants,Spring Builder Cohort,EUR,9719.01,0.9065,10721.3
TXN-931670,12-01-25,Asia,Developer Grants,Global Hackathon,SGD,1670.68,1.3251,1260.75
TXN-873056,12-01-25,Europe,Marketing,Regional Meetups,EUR,630.25,0.9554,659.65
TXN-756095,12-01-25,Europe,Event Logistics,Organic/None,EUR,35604.73,0.8811,40407.74
TXN-700296,12-01-25,Europe,Developer Grants,Core Contributor Fund,EUR,132847.29,0.8833,150393.81
TXN-138635,12-01-25,Americas,Marketing,Spring Builder Cohort,USD,1600.8,1.0481,1527.33
TXN-409880,12-01-25,Africa,Developer Grants,Global Hackathon,NGN,5096.69,1115.6857,4.57
TXN-343373,12-01-25,Europe,Developer Grants,Regional Meetups,EUR,18336.94,0.9449,19405.72
TXN-369570,12-01-25,Africa,Developer Grants,Global Hackathon,NGN,165002.21,1158.9651,142.37
TXN-245281,12-01-25,Africa,Bounties,Spring Builder Cohort,NGN,1131.31,1180.5703,0.96
TXN-633701,12-01-25,Americas,Event Logistics,Core Contributor Fund,USD,5243.3,1.0461,5012.41
TXN-712956,12-01-25,Africa,Event Logistics,Regional Meetups,NGN,1082.47,1167.9081,0.93
TXN-735834,12-01-25,Europe,Developer Grants,Regional Meetups,EUR,17677.81,0.9446,18715.34
TXN-629190,12-01-25,Americas,Developer Grants,Spring Builder Cohort,USD,6656.82,0.9783,6804.49
TXN-389962,12-01-25,Africa,Bounties,Spring Builder Cohort,NGN,5515.72,1144.1666,4.82
TXN-400196,13-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,2490.75,1095.1065,2.27
TXN-965673,13-01-25,Americas,Bounties,Spring Builder Cohort,USD,561.78,1.0286,546.14
TXN-324458,13-01-25,Africa,Bounties,Spring Builder Cohort,NGN,4188.87,1116.8753,3.75
TXN-460835,13-01-25,Africa,Event Logistics,Global Hackathon,NGN,49987.5,1124.7233,44.44
TXN-929773,13-01-25,Africa,Developer Grants,Regional Meetups,NGN,13789.15,1168.4199,11.8
TXN-428885,13-01-25,Africa,Developer Grants,Global Hackathon,NGN,6434.72,1137.0558,5.66
TXN-263402,13-01-25,Europe,Developer Grants,Regional Meetups,EUR,8697.38,0.9027,9634.62
TXN-486193,13-01-25,Europe,Developer Grants,Regional Meetups,EUR,2165.19,0.9337,2318.96
TXN-268383,13-01-25,Asia,Marketing,Global Hackathon,SGD,5329.63,1.2981,4105.59
TXN-336500,13-01-25,Americas,Bounties,Core Contributor Fund,USD,3322.51,0.9516,3491.56
TXN-746952,13-01-25,Africa,Bounties,Spring Builder Cohort,NGN,931.22,1095.7943,0.85
TXN-645096,13-01-25,Europe,Bounties,Spring Builder Cohort,EUR,2788.9,0.8935,3121.3
TXN-717542,13-01-25,Africa,Bounties,Core Contributor Fund,NGN,941.42,1136.8738,0.83
TXN-420882,13-01-25,Europe,Bounties,Spring Builder Cohort,EUR,3791.74,0.9169,4135.54
TXN-264857,13-01-25,Europe,Developer Grants,Global Hackathon,EUR,15816.62,0.9135,17314.79
TXN-615593,13-01-25,Europe,Marketing,Organic/None,EUR,5971.35,0.8744,6829.31
TXN-701467,13-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,10133.68,1196.751,8.47
TXN-415261,13-01-25,Asia,Platform Subs,Organic/None,SGD,1122.68,1.322,849.24
TXN-786967,14-01-25,Africa,Marketing,Core Contributor Fund,NGN,1348.16,1165.085,1.16
TXN-293697,14-01-25,Africa,Event Logistics,Spring Builder Cohort,NGN,84228.75,1113.7022,75.63
TXN-319700,14-01-25,Europe,Platform Subs,Organic/None,EUR,1481.59,0.8743,1694.52
TXN-332366,14-01-25,Europe,Developer Grants,Global Hackathon,EUR,101.67,0.9608,105.82
TXN-802409,14-01-25,Africa,Marketing,Organic/None,NGN,2395.08,1150.1999,2.08
TXN-324811,14-01-25,Asia,Bounties,Regional Meetups,SGD,812.32,1.3239,613.59
TXN-786962,14-01-25,Africa,Developer Grants,Organic/None,NGN,15080.49,1139.4899,13.23
TXN-493273,14-01-25,Americas,Marketing,Spring Builder Cohort,USD,484.43,1.0196,475.1
TXN-991659,14-01-25,Asia,Event Logistics,Spring Builder Cohort,SGD,6323.19,1.3544,4668.69
TXN-395060,14-01-25,Americas,Platform Subs,Organic/None,USD,475.57,0.9972,476.88
TXN-199017,14-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,9507.72,1171.8142,8.11
TXN-698493,14-01-25,Americas,Bounties,Organic/None,USD,2463.81,0.9637,2556.65
TXN-191818,14-01-25,Africa,Event Logistics,Regional Meetups,NGN,10134.62,1133.977,8.94
TXN-598357,14-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,24998.19,1134.1796,22.04
TXN-672843,14-01-25,Americas,Developer Grants,Organic/None,USD,3565.18,1.0183,3501.02
TXN-887928,14-01-25,Africa,Developer Grants,Core Contributor Fund,NGN,90350.8,1135.1143,79.6
TXN-238213,15-01-25,Europe,Developer Grants,Regional Meetups,EUR,2030.09,0.9006,2254.19
TXN-292848,15-01-25,Africa,Event Logistics,Global Hackathon,NGN,22675.56,1144.8673,19.81
TXN-510360,15-01-25,Europe,Marketing,Organic/None,EUR,2532.34,0.8911,2841.71
TXN-444855,15-01-25,Asia,Platform Subs,Organic/None,SGD,842.11,1.3997,601.64
TXN-260014,15-01-25,Africa,Developer Grants,Organic/None,NGN,3271.55,1094.5733,2.99
TXN-441954,15-01-25,Africa,Developer Grants,Global Hackathon,NGN,111350.89,1109.6982,100.34
TXN-113265,15-01-25,Africa,Developer Grants,Global Hackathon,NGN,17069.39,1180.2623,14.46
TXN-840537,15-01-25,Europe,Platform Subs,Organic/None,EUR,1963.2,0.9305,2109.85
TXN-555919,15-01-25,Africa,Event Logistics,Core Contributor Fund,NGN,43409.6,1185.6151,36.61
TXN-487688,15-01-25,Africa,Platform Subs,Organic/None,NGN,1230.63,1122.054,1.1
TXN-886070,15-01-25,Africa,Event Logistics,Organic/None,NGN,5956.03,1117.3183,5.33
TXN-728880,15-01-25,Africa,Bounties,Core Contributor Fund,NGN,777.44,1106.2726,0.7
TXN-439855,16-01-25,Asia,Event Logistics,Core Contributor Fund,SGD,47190.68,1.3152,35881.13
TXN-559297,16-01-25,Europe,Bounties,Spring Builder Cohort,EUR,2410.91,0.8762,2751.41
TXN-875411,16-01-25,Africa,Event Logistics,Global Hackathon,NGN,7761.45,1128.0504,6.88
TXN-342118,16-01-25,Americas,Bounties,Organic/None,USD,698.79,1.013,689.8
TXN-712381,16-01-25,Africa,Developer Grants,Global Hackathon,NGN,7699.29,1173.0558,6.56
TXN-812208,16-01-25,Africa,Bounties,Regional Meetups,NGN,823.76,1189.3352,0.69
TXN-608593,16-01-25,Africa,Event Logistics,Core Contributor Fund,NGN,3254.72,1180.8358,2.76
TXN-156480,16-01-25,Americas,Event Logistics,Global Hackathon,USD,38130.74,0.9789,38951.56
TXN-849036,16-01-25,Europe,Developer Grants,Organic/None,EUR,71673.65,0.936,76573.58
TXN-974072,16-01-25,Africa,Developer Grants,Organic/None,NGN,20035.64,1092.5722,18.34
TXN-948503,16-01-25,Africa,Event Logistics,Core Contributor Fund,NGN,8889.35,1129.7011,7.87
TXN-469222,16-01-25,Africa,Bounties,Regional Meetups,NGN,2811.37,1192.1713,2.36
TXN-234845,16-01-25,Americas,Marketing,Regional Meetups,USD,7427.01,1.0199,7281.97
TXN-800577,16-01-25,Asia,Event Logistics,Regional Meetups,SGD,5837.01,1.3502,4323.17
TXN-853818,17-01-25,Africa,Bounties,Core Contributor Fund,NGN,3837.59,1098.2047,3.49
TXN-451637,17-01-25,Europe,Platform Subs,Organic/None,EUR,466.09,0.9159,508.91
TXN-471087,17-01-25,Europe,Developer Grants,Organic/None,EUR,1476.45,0.9497,1554.68
TXN-638645,17-01-25,Asia,Platform Subs,Organic/None,SGD,1171.39,1.3015,900.01
TXN-194096,17-01-25,Africa,Platform Subs,Organic/None,NGN,268.6,1141.0674,0.24
TXN-575098,17-01-25,Africa,Developer Grants,Global Hackathon,NGN,44758.19,1132.8475,39.51
TXN-249805,17-01-25,Americas,Event Logistics,Core Contributor Fund,USD,27140.05,0.9717,27930.19
TXN-250274,17-01-25,Africa,Platform Subs,Organic/None,NGN,941.28,1160.5868,0.81
TXN-160964,17-01-25,Africa,Bounties,Spring Builder Cohort,NGN,1575.67,1135.1912,1.39
TXN-936943,17-01-25,Asia,Event Logistics,Core Contributor Fund,SGD,10502.41,1.2953,8107.88
TXN-630547,17-01-25,Asia,Platform Subs,Organic/None,SGD,3949.35,1.3367,2954.51
TXN-301489,17-01-25,Americas,Developer Grants,Organic/None,USD,6274.55,1.0386,6041.1
TXN-458667,17-01-25,Europe,Developer Grants,Core Contributor Fund,EUR,687.66,0.8911,771.73
TXN-287991,17-01-25,Africa,Event Logistics,Spring Builder Cohort,NGN,1245.77,1152.6701,1.08
TXN-694729,17-01-25,Africa,Platform Subs,Organic/None,NGN,5490.48,1156.3257,4.75
TXN-983096,17-01-25,Americas,Platform Subs,Organic/None,USD,549.08,1.0225,537
TXN-450710,18-01-25,Europe,Developer Grants,Global Hackathon,EUR,38796.82,0.8773,44220.66
TXN-887965,18-01-25,Europe,Platform Subs,Organic/None,EUR,278.3,0.948,293.57
TXN-545101,18-01-25,Europe,Marketing,Spring Builder Cohort,EUR,1054.1,0.9596,1098.52
TXN-525659,18-01-25,Americas,Bounties,Global Hackathon,USD,754.39,0.954,790.75
TXN-972089,18-01-25,Africa,Developer Grants,Organic/None,NGN,38531.5,1206.9992,31.92
TXN-408013,18-01-25,Asia,Bounties,Organic/None,SGD,1124.68,1.3329,843.77
TXN-650765,18-01-25,Africa,Event Logistics,Organic/None,NGN,24811.66,1097.0101,22.62
TXN-622554,18-01-25,Europe,Bounties,Core Contributor Fund,EUR,389.84,0.9385,415.39
TXN-824443,18-01-25,Americas,Bounties,Organic/None,USD,12471.7,1.02,12226.97
TXN-209657,18-01-25,Americas,Bounties,Spring Builder Cohort,USD,2165.63,1.0496,2063.31
TXN-355842,18-01-25,Americas,Marketing,Organic/None,USD,2043.68,0.9959,2052.19
TXN-831187,18-01-25,Africa,Bounties,Core Contributor Fund,NGN,2493.64,1113.9253,2.24
TXN-224926,18-01-25,Europe,Developer Grants,Global Hackathon,EUR,32981,0.9619,34287.98
TXN-557199,18-01-25,Asia,Event Logistics,Regional Meetups,SGD,685.69,1.3645,502.52
TXN-644893,18-01-25,Asia,Developer Grants,Global Hackathon,SGD,40894.79,1.3246,30873.54
TXN-929784,18-01-25,Americas,Marketing,Regional Meetups,USD,702.51,1.0179,690.14
TXN-673645,18-01-25,Africa,Bounties,Spring Builder Cohort,NGN,3375.95,1109.0923,3.04
TXN-634221,18-01-25,Asia,Developer Grants,Spring Builder Cohort,SGD,23502.32,1.4062,16713.32
TXN-326105,18-01-25,Americas,Developer Grants,Regional Meetups,USD,4585.71,0.976,4698.27
TXN-903003,18-01-25,Americas,Event Logistics,Organic/None,USD,36841.91,0.9892,37245.89
TXN-973864,18-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,13926.76,1150.978,12.1
TXN-672842,18-01-25,Europe,Platform Subs,Organic/None,EUR,1699.21,0.9574,1774.77
TXN-200477,18-01-25,Asia,Developer Grants,Core Contributor Fund,SGD,39908.09,1.3002,30693.45
TXN-446874,19-01-25,Europe,Event Logistics,Global Hackathon,EUR,3095.47,0.8943,3461.34
TXN-927641,19-01-25,Europe,Bounties,Global Hackathon,EUR,442.45,0.9173,482.35
TXN-755930,19-01-25,Africa,Event Logistics,Core Contributor Fund,NGN,44811.87,1122.496,39.92
TXN-583455,19-01-25,Asia,Event Logistics,Core Contributor Fund,SGD,4741.42,1.3879,3416.17
TXN-468066,19-01-25,Europe,Developer Grants,Organic/None,EUR,40788.41,0.9173,44466
TXN-802962,19-01-25,Americas,Bounties,Core Contributor Fund,USD,422.15,1.0263,411.34
TXN-436314,19-01-25,Africa,Marketing,Core Contributor Fund,NGN,1007.81,1152.0961,0.87
TXN-316486,19-01-25,Europe,Developer Grants,Organic/None,EUR,19942.89,0.9308,21424.39
TXN-549423,19-01-25,Africa,Marketing,Core Contributor Fund,NGN,348.61,1159.8269,0.3
TXN-890141,19-01-25,Africa,Developer Grants,Organic/None,NGN,100269.76,1139.0982,88.03
TXN-739951,19-01-25,Africa,Platform Subs,Organic/None,NGN,1463.7,1126.7314,1.3
TXN-819449,19-01-25,Europe,Marketing,Organic/None,EUR,3442.93,0.9013,3819.96
TXN-185940,19-01-25,Africa,Marketing,Regional Meetups,NGN,3696.26,1176.8766,3.14
TXN-368116,19-01-25,Africa,Bounties,Organic/None,NGN,19660.99,1205.008,16.32
TXN-769419,19-01-25,Africa,Event Logistics,Organic/None,NGN,29258.62,1110.6229,26.34
TXN-352299,20-01-25,Europe,Developer Grants,Global Hackathon,EUR,3215.78,0.9386,3426.07
TXN-119510,20-01-25,Asia,Developer Grants,Global Hackathon,SGD,6408.1,1.3962,4589.53
TXN-686340,20-01-25,Americas,Bounties,Spring Builder Cohort,USD,555.85,1.0251,542.23
TXN-643692,20-01-25,Americas,Developer Grants,Spring Builder Cohort,USD,39479.98,0.9902,39871.17
TXN-214914,20-01-25,Africa,Event Logistics,Regional Meetups,NGN,146243.87,1194.4125,122.44
TXN-675832,20-01-25,Africa,Event Logistics,Global Hackathon,NGN,17184.35,1150.8423,14.93
TXN-969173,20-01-25,Asia,Developer Grants,Global Hackathon,SGD,4579.29,1.4151,3236.06
TXN-594209,20-01-25,Africa,Event Logistics,Global Hackathon,NGN,5515.15,1124.6625,4.9
TXN-202478,20-01-25,Africa,Developer Grants,Global Hackathon,NGN,7936.45,1195.9741,6.64
TXN-619372,21-01-25,Americas,Platform Subs,Organic/None,USD,3221.49,1.0431,3088.3
TXN-767478,21-01-25,Americas,Event Logistics,Regional Meetups,USD,30128.31,0.9709,31030.29
TXN-312213,21-01-25,Americas,Developer Grants,Regional Meetups,USD,5817.21,0.9752,5964.95
TXN-360123,21-01-25,Asia,Bounties,Regional Meetups,SGD,609.24,1.3757,442.87
TXN-660969,21-01-25,Africa,Event Logistics,Global Hackathon,NGN,23889.71,1140.0206,20.96
TXN-883123,21-01-25,Africa,Developer Grants,Organic/None,NGN,529.99,1179.904,0.45
TXN-407157,22-01-25,Asia,Platform Subs,Organic/None,SGD,378.82,1.3792,274.66
TXN-820571,22-01-25,Asia,Developer Grants,Spring Builder Cohort,SGD,50332.53,1.3559,37120.13
TXN-707415,22-01-25,Europe,Developer Grants,Regional Meetups,EUR,12492.23,0.9075,13764.93
TXN-120169,22-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,4824.56,1118.9277,4.31
TXN-154213,22-01-25,Asia,Developer Grants,Spring Builder Cohort,SGD,4242.3,1.3533,3134.77
TXN-895326,22-01-25,Americas,Event Logistics,Core Contributor Fund,USD,3039.01,1.0327,2942.72
TXN-939726,22-01-25,Asia,Bounties,Core Contributor Fund,SGD,2105.29,1.3823,1522.99
TXN-743534,22-01-25,Europe,Bounties,Spring Builder Cohort,EUR,1030.83,0.8861,1163.31
TXN-577793,22-01-25,Americas,Bounties,Regional Meetups,USD,2378.27,0.983,2419.36
TXN-533961,22-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,1214,1134.2837,1.07
